Attack,Defense,Sp.Atk,Sp.Def,Speed,HP,Legendary
6,-10,15,-10,19,20,0
39,18,-18,-39,0,0,1
35,-10,45,-10,0,20,0
80,50,-10,50,28,37,0
50,-105,105,-160,50,50,0
-3,-100,7,-100,5,-10,0
0,-10,45,50,25,25,0
20,70,65,85,55,80,1
-12,-28,23,28,29,0,0
25,10,-5,20,5,-5,0
-10,25,40,25,25,-10,0
99,5,17,25,78,53,1
90,35,60,65,30,50,0
-15,15,15,-10,25,-25,0
70,100,1,70,5,30,0
32,-11,-3,-12,21,27,0
0,-5,30,5,55,-40,1
60,20,20,-15,0,55,0
95,-62,90,-80,62,20,0
45,0,1,-25,41,-21,0
59,32,-21,-6,20,1,0
8,15,35,30,0,-26,0
15,40,80,5,40,5,0
10,20,-100,-60,20,35,0
40,10,5,10,73,10,0
-60,10,-30,54,20,6,1
31,-15,-14,5,44,25,0
11,-26,-8,0,26,4,0
-20,16,-55,-9,40,-5,0
61,36,-35,-33,5,-16,0
-65,40,35,50,42,3,0
50,10,-5,-60,40,5,0
15,25,-35,-5,100,10,0
25,47,65,32,36,5,0
50,63,0,25,-38,30,0
81,82,3,38,32,-11,0
-45,-29,-5,-29,12,-12,0
-20,20,-75,-30,2,-22,0
30,-16,-20,-51,45,-33,0
10,-4,30,-4,23,-10,0
10,-15,29,5,22,-15,0
-11,15,12,35,12,44,0
-43,-2,-55,-15,-50,-25,0
11,53,41,71,20,34,0
10,10,-5,20,29,-4,0
6,-26,-31,-14,40,-35,0
-14,-11,9,-34,26,6,0
64,85,30,60,36,-20,0
55,-170,100,-135,60,110,0
10,40,67,30,68,31,0
33,-81,28,-33,53,15,0
-40,-50,-4,-50,-70,-46,1
78,68,1,1,61,-1,1
-40,-33,35,5,27,2,0
-25,10,60,40,20,30,0
36,27,20,25,6,12,0
-5,37,35,37,16,-20,0
95,10,13,20,38,21,0
18,-43,-14,25,17,7,0
-10,-3,3,-12,23,-21,0
-52,2,-12,72,2,-3,0
29,-15,39,-40,5,-13,0
79,30,7,20,7,49,0
-2,12,-30,-6,27,-21,0
20,-15,-25,-15,16,-32,0
-27,-31,38,35,53,7,0
100,55,75,30,45,50,0
-30,5,-5,-30,15,-15,0
47,-10,-11,-10,28,11,1
70,16,-15,73,21,9,0
74,-152,99,-145,95,58,0
-16,-23,54,19,70,-9,0
10,-16,86,-11,80,26,0
-13,45,-13,45,7,11,0
68,23,35,15,10,44,1
30,34,5,34,10,-90,0
15,10,25,35,40,50,0
25,-53,3,-50,35,-5,1
-26,12,-1,12,37,-54,0
-45,-10,50,30,10,-25,1
50,13,65,3,85,0,0
17,-15,-1,5,22,0,0
-7,-12,-48,-8,10,-20,0
35,57,40,57,41,5,0
52,32,35,15,21,50,0
21,67,5,50,-60,-8,0
27,35,78,10,5,25,1
78,13,38,-57,51,30,0
20,-35,55,-35,45,105,1
41,-16,-24,-36,32,3,0
-20,40,20,90,5,50,0
50,10,18,-2,5,16,0
11,-44,-56,-21,66,8,0
30,12,33,24,25,8,0
35,15,0,60,50,65,1
71,46,14,46,47,47,1
-15,-25,30,55,45,25,1
45,36,12,36,31,31,0
25,-25,25,-40,15,-10,0
10,20,57,40,83,-5,0
-23,10,-23,-20,16,-20,0
14,-8,14,-11,55,12,0
-53,5,12,5,55,5,0
44,33,27,31,24,37,0
50,55,25,15,0,15,0
65,-4,-35,11,70,50,0
-50,-25,25,-55,40,-35,0
-45,-10,15,-5,5,-30,0
12,-17,-35,-10,10,-21,0
29,5,-36,-33,1,24,1
-14,-40,11,-35,9,10,0
-20,-25,5,-35,2,-17,0
-10,-30,10,5,50,-30,0
65,10,30,40,65,25,0
35,60,95,40,19,21,1
45,-11,5,55,26,65,0
65,3,-5,55,42,-10,0
43,-12,9,-17,47,-5,0
5,-155,-5,-15,130,-14,0
-10,0,60,20,30,20,0
23,-12,20,0,19,15,0
40,75,-15,-50,-70,30,0
10,15,75,10,60,-10,0
20,45,-65,-30,5,10,0
30,0,-55,0,11,-30,0
0,20,-10,15,11,-56,0
-20,35,35,35,70,35,0
60,-20,-30,10,40,10,0
10,-15,70,50,20,25,0
-29,3,10,10,25,-32,0
0,23,3,-5,5,6,0
44,23,60,20,5,3,0
20,10,10,20,70,25,0
7,63,57,73,-40,15,0
45,50,35,45,10,5,0
30,20,5,79,50,36,1
30,10,15,0,55,25,0
5,-13,-8,-9,3,-17,0
-80,-20,20,50,22,-12,0
35,72,55,37,31,10,0
7,-25,17,-25,64,-33,0
74,55,39,10,7,10,0
0,20,28,0,-50,45,0
35,70,45,15,15,5,0
15,-14,52,-35,29,-20,0
0,72,25,70,47,77,0
-25,70,35,80,10,75,0
10,5,125,105,50,23,0
22,50,-5,15,25,-30,0
-69,-45,30,15,19,-32,0
20,50,85,0,-35,5,0
35,5,50,25,65,0,0
-4,-18,-44,5,2,-3,0
5,20,-10,0,70,0,0
43,47,78,77,57,5,0
40,5,40,-10,10,-5,0
47,13,12,-22,3,15,0
41,-35,119,35,84,11,1
0,-20,-50,-45,-5,0,0
98,35,93,65,70,26,0
4,-30,16,-15,9,21,0
20,-22,55,40,25,45,0
15,30,15,50,-110,44,0
30,-20,-20,-120,30,0,1
3,-23,-34,-29,29,-27,0
50,20,-35,10,30,10,0
36,-30,-9,-20,94,20,0
40,61,42,38,20,10,0
-20,-36,-40,-26,0,-20,1
36,70,55,70,49,100,1
-35,-10,50,-10,75,-30,0
-30,-13,45,-30,0,-7,0
110,30,110,30,45,35,1
18,-5,26,15,19,12,0
-5,-40,-90,-25,-105,55,1
-34,-20,30,-15,29,-10,1
-30,-21,35,9,35,15,0
24,46,91,34,40,15,1
70,72,38,25,44,-5,0
-9,1,14,-51,86,18,0
-50,-40,-45,0,5,-70,0
40,26,10,36,8,5,0
68,28,25,30,46,38,0
-30,15,25,-5,5,15,0
19,-5,-8,-35,1,-5,0
19,-1,50,26,23,28,0
80,10,25,40,45,34,0
-100,-80,5,55,5,-35,0
40,-2,-55,-67,-66,20,0
-2,-12,4,22,77,-32,0
-6,-32,55,35,58,9,0
-12,18,45,19,19,6,0
99,67,59,44,50,47,1
10,55,39,59,-10,85,1
-20,-75,-30,-80,51,33,1
-20,5,60,40,70,10,0
30,-5,-60,-55,35,7,0
-25,5,20,10,50,5,1
45,90,-45,-26,-55,-11,0
69,12,-16,29,85,17,0
56,35,23,12,54,38,1
20,13,100,-25,27,-10,0
22,-5,-33,-10,4,11,0
-10,20,30,-5,35,-30,0
115,-25,35,20,70,80,1
52,60,60,-14,7,56,0
-66,-35,9,15,11,-25,0
50,-8,45,-20,57,27,0
50,-5,-25,-15,10,10,0
-37,0,43,0,67,12,0
45,-35,45,-35,4,-4,1
39,36,39,36,43,41,0
8,43,91,39,15,23,0
35,45,150,75,85,15,0
39,13,-6,-42,32,-36,0
-10,10,55,55,35,10,0
40,45,5,15,25,10,0
-55,-23,-30,23,12,-16,0
-111,-65,-5,-55,-40,-21,0
15,-49,60,-29,18,20,0
35,35,50,25,75,35,1
75,57,15,32,23,20,0
-32,-13,-4,9,10,-15,0
-13,-25,55,30,48,40,0
78,30,60,25,-25,70,0
12,0,-13,-35,43,-60,0
-2,85,32,40,7,-20,0
35,95,14,44,25,35,0
51,51,41,44,19,-24,1
28,23,32,12,1,54,0
-45,21,30,86,30,33,0
-3,-25,72,25,5,5,0
70,70,-35,15,0,15,1
-7,-88,78,-18,75,10,0
55,9,75,9,15,-3,1
33,-7,43,-7,30,80,0
-16,10,-2,0,3,-25,0
44,5,7,25,73,-4,1
-30,5,0,-45,40,0,0
-35,-20,40,70,60,-5,0
-25,-77,34,-33,7,11,0
150,128,100,38,25,60,1
13,25,25,21,14,22,0
19,35,24,55,11,-10,0
0,5,80,35,8,-28,1
66,34,-38,-36,42,-34,0
10,-55,15,25,60,10,0
5,-45,-25,50,30,-25,0
60,23,32,65,45,45,0
10,-80,60,40,40,80,1
130,78,30,58,35,70,1
10,80,30,100,5,55,0
-23,-18,2,-18,21,-10,0
0,-20,-5,-30,36,14,0
-36,-74,-34,-24,4,-47,0
18,19,5,70,19,4,0
-25,-50,5,-65,0,-15,0
60,40,-5,40,30,35,0
17,-8,32,2,11,-154,0
50,60,134,60,105,34,1
155,70,134,80,80,66,1
52,25,89,25,88,56,0
0,35,60,20,-70,40,0
45,11,-15,11,45,37,0
-33,-18,-20,-38,15,-33,0
-6,-33,51,21,69,-1,0
-30,-15,10,15,11,9,1
25,-42,85,5,67,-10,0
20,20,-10,10,0,5,1
-65,-28,0,-65,8,-40,0
15,15,35,45,35,35,0
-5,27,55,22,46,-10,0
-45,47,-45,-23,16,-30,1
71,69,-7,-37,1,-18,0
24,17,69,30,59,10,0
22,69,3,43,14,44,1
15,10,40,35,90,-30,1
-25,-25,25,15,10,-52,0
119,115,75,90,51,55,0
-45,-15,2,-10,0,-37,0
-10,10,55,10,20,15,1
-5,-14,5,16,45,-12,0
40,50,70,98,9,27,0
-37,-18,28,-13,32,-18,0
0,-35,25,15,10,-20,0
100,15,119,55,110,61,1
10,-50,10,90,0,30,0
25,-40,20,5,30,-15,0
-85,-180,70,-35,0,-10,0
-15,0,115,40,40,-20,0
33,-5,13,-50,18,-2,0
47,15,-60,-35,2,35,0
-25,-20,40,50,40,45,0
90,20,-12,5,28,70,0
-23,105,0,105,35,-40,1
-30,-12,43,-29,41,-23,0
15,5,62,12,41,26,0
10,35,43,38,44,-6,0
-11,-13,-41,-21,3,-65,0
32,40,60,62,18,35,0
-15,35,-28,-7,5,-12,0
27,-70,99,45,38,56,0
10,-47,87,10,91,-15,0
-14,-35,11,-25,34,0,0
10,10,10,-5,120,-80,1
7,9,34,20,44,15,0
35,-37,-45,-37,9,30,0
70,60,25,15,25,15,0
84,32,9,39,110,27,0
125,-1,-10,39,120,28,0
-25,5,15,40,10,5,0
23,13,-19,-7,42,-63,0
7,32,29,67,10,36,0
30,25,10,20,-90,15,0
25,25,-1,41,13,42,0
165,55,87,45,106,30,1
15,5,51,32,21,6,0
-34,-11,-39,-6,7,-11,0
42,30,25,30,12,40,0
-4,10,63,10,57,0,0
69,60,99,80,60,32,1
0,-27,25,-27,14,0,0
5,-25,-60,-30,15,-15,1
-30,5,-28,2,11,-4,0
-11,5,54,25,2,-10,0
54,-28,14,-36,45,6,0
95,80,60,20,70,35,0
-70,-93,-5,-28,21,-39,0
35,10,105,30,85,35,0
30,14,-26,-2,13,5,0
21,-9,-1,-29,43,-48,0
-30,-51,-50,-46,20,15,0
43,35,23,45,12,45,0
31,40,68,27,79,-7,1
65,12,-42,-94,5,32,0
-5,-12,17,21,4,-5,0
45,0,40,35,-60,15,1
53,43,53,38,81,-40,0
-15,-11,-12,-20,14,-25,0
15,-5,-34,-9,5,0,0
15,-10,45,10,34,-14,0
68,5,38,-5,40,-10,0
